vote_id,party,total,yes,no,not_in,refrained,excused
67076,KDU-ČSL,10,8,0,0,1,1

67076,TOP09,7,4,0,1,1,1

67076,STAN,6,4,0,0,2,0

67077,ANO,78,73,0,3,1,1

67077,ODS,25,0,14,8,3,0

67077,Piráti,22,0,19,1,1,1

67077,SPD,22,20,0,1,0,1

67077,ČSSD,15,0,4,1,6,4

67077,KSČM,15,11,0,0,3,1

67077,KDU-ČSL,10,0,8,0,1,1

67077,TOP09,7,0,4,1,1,1

67077,STAN,6,0,4,0,2,0

67078,ANO,78,1,70,3,3,1

67078,ODS,25,16,0,8,1,0

67078,Piráti,22,20,0,0,1,1

67078,SPD,22,0,21,0,0,1

67078,ČSSD,15,9,0,1,1,4

67078,KSČM,15,1,7,0,6,1

67078,KDU-ČSL,10,8,0,0,1,1

67078,TOP09,7,3,0,1,2,1

67078,STAN,6,5,0,0,1,0

67079,ANO,78,74,0,3,0,1

67079,ODS,25,0,15,8,2,0

67079,Piráti,22,0,20,0,1,1

67079,SPD,22,21,0,0,0,1

67079,ČSSD,15,0,5,1,5,4

67079,KSČM,15,13,0,0,1,1

67079,KDU-ČSL,10,0,8,0,1,1

67079,TOP09,7,0,4,1,1,1

67079,STAN,6,0,5,0,1,0

67080,ANO,78,0,72,3,2,1

67080,ODS,25,16,0,8,1,0

67080,Piráti,22,20,0,0,1,1

67080,SPD,22,0,21,0,0,1

67080,ČSSD,15,9,0,1,1,4

67080,KSČM,15,1,6,0,7,1

67080,KDU-ČSL,10,8,0,0,1,1

67080,TOP09,7,3,0,1,2,1

67080,STAN,6,5,0,0,1,0

67081,ANO,78,72,0,3,2,1

67081,ODS,25,0,16,8,1,0

67081,Piráti,22,0,20,0,1,1

67081,SPD,22,21,0,0,0,1

67081,ČSSD,15,0,5,1,5,4

67081,KSČM,15,11,0,0,3,1

67081,KDU-ČSL,10,0,8,0,1,1

67081,TOP09,7,0,3,1,2,1

67081,STAN,6,0,5,0,1,0

67082,ANO,78,61,3,5,8,1

67082,ODS,25,12,0,9,4,0

67082,Piráti,22,17,0,1,3,1

67082,SPD,22,20,0,0,1,1

67082,ČSSD,15,9,0,1,1,4

67082,KSČM,15,12,0,0,2,1

67082,KDU-ČSL,10,8,0,0,1,1

67082,TOP09,7,2,0,2,2,1

67082,STAN,6,5,0,0,1,0

67083,ANO,78,62,0,14,1,1

67083,ODS,25,13,0,12,0,0

67083,Piráti,22,18,0,2,1,1

67083,SPD,22,19,0,1,1,1

67083,ČSSD,15,8,0,3,0,4

67083,KSČM,15,12,0,2,0,1

67083,KDU-ČSL,10,9,0,0,0,1

67083,TOP09,7,4,0,2,0,1

67083,STAN,6,4,0,2,0,0

67084,ANO,78,64,0,7,2,5

67084,ODS,25,17,0,5,1,2

67084,Piráti,22,16,0,3,1,2

67084,SPD,22,20,0,0,0,2

67084,ČSSD,15,6,0,2,0,7

67084,KSČM,15,10,0,4,0,1

67084,KDU-ČSL,10,7,0,0,0,3

67084,TOP09,7,4,0,1,0,2

67084,STAN,6,5,0,1,0,0

67085,ANO,78,10,1,2,60,5

67085,ODS,25,14,0,2,7,2

67085,Piráti,22,7,0,1,12,2

67085,SPD,22,1,0,0,19,2

67085,ČSSD,15,6,0,1,1,7

67085,KSČM,15,7,0,1,6,1

67085,KDU-ČSL,10,7,0,0,0,3

67085,TOP09,7,4,0,1,0,2

67085,STAN,6,4,0,0,2,0

67086,ANO,78,8,47,4,14,5

67086,ODS,25,22,0,1,0,2

67086,Piráti,22,19,0,0,1,2

67086,SPD,22,0,20,0,0,2

67086,ČSSD,15,6,0,1,1,7

67086,KSČM,15,8,1,1,4,1

67086,KDU-ČSL,10,7,0,0,0,3

67086,TOP09,7,4,0,1,0,2

67086,STAN,6,5,0,1,0,0

67087,ANO,78,71,0,2,0,5

67087,ODS,25,22,0,0,1,2

67087,Piráti,22,19,0,0,1,2

67087,SPD,22,19,0,0,1,2

67087,ČSSD,15,6,0,1,1,7

67087,KSČM,15,13,0,1,0,1

67087,KDU-ČSL,10,7,0,0,0,3

67087,TOP09,7,4,0,1,0,2

67087,STAN,6,5,0,1,0,0

67088,ANO,78,71,0,2,0,5

67088,ODS,25,22,0,0,1,2

67088,Piráti,22,20,0,0,0,2

67088,SPD,22,20,0,0,0,2

67088,ČSSD,15,7,0,1,0,7

67088,KSČM,15,13,0,1,0,1

67088,KDU-ČSL,10,6,0,0,1,3

67088,TOP09,7,3,0,1,1,2

67088,STAN,6,6,0,0,0,0

67089,ANO,78,71,0,2,0,5

67089,ODS,25,11,0,0,12,2

67089,Piráti,22,15,1,0,4,2

67089,SPD,22,20,0,0,0,2

67089,ČSSD,15,7,0,1,0,7

67089,KSČM,15,13,0,1,0,1

67089,KDU-ČSL,10,6,0,0,1,3

67089,TOP09,7,4,0,1,0,2

67089,STAN,6,6,0,0,0,0

67090,ANO,78,71,0,2,0,5

67090,ODS,25,23,0,0,0,2

67090,Piráti,22,18,0,0,2,2

67090,SPD,22,20,0,0,0,2

67090,ČSSD,15,7,0,1,0,7

67090,KSČM,15,13,0,1,0,1

67090,KDU-ČSL,10,6,0,0,1,3

67090,TOP09,7,4,0,1,0,2

67090,STAN,6,6,0,0,0,0

